wp_id,url1,url2,url3,permalink,resource_name_current,resource_name_edited,resource_id,resource_date_current,resource_date_edited,categories,resource_authors_current,resource_authors_edited,resource_affiliations_current,resource_affiliations_edited,resource_subject_current,resource_subject_edited,contest,contest_status,ready_for_update,notes,resource_date_checked,file_name,file_name_without_extension
84696,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5523.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/Prepping_for_the_midterms.docx,NA,NA,Politics: Prepping for the midterms,NA,5523,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,Prepping_for_the_midterms.docx,Prepping_for_the_midterms
84707,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5534.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5534.pptx,NA,NA,Watchdog state of mind,NA,5534,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5534.pptx,5534
84708,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5535.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5535.ppt,NA,NA,Watchdogging the statehouse,NA,5535,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5535.ppt,5535
84709,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5536.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5536.pptx,NA,NA,Statehouse reporting,NA,5536,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5536.pptx,5536
84713,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5540.doc,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5540.pdf,NA,NA,FOI Laws for Texas Journalists,NA,5540,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5540.pdf,5540
84715,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5542.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5542.pptx,NA,NA,Digital sleuthing on deadline,NA,5542,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5542.pptx,5542
84718,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5545.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5545.pptx,NA,NA,Prying loose public records,NA,5545,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5545.pptx,5545
84721,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/30_Stories_in_60_Minutes.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5548.docx,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5548.pdf,NA,30 Stories in 60 Minutes,NA,5548,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5548.pdf,5548
84729,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5556.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5556.pptx,NA,NA,Public records: Tips and tactics,NA,5556,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5556.pptx,5556
84730,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5557.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5557.pptx,NA,NA,Data for breaking news,NA,5557,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5557.pptx,5557
84733,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5560.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5560.pptx,NA,NA,Developing a watchdog mindset,NA,5560,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5560.pptx,5560
84734,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5561.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5561.pptx,NA,NA,Developing a watchdog mindset to uncover systemic problems and more,NA,5561,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5561.pptx,5561
84735,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5562.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5562.pptx,NA,NA,Datasets you should be using,NA,5562,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5562.pptx,5562
84736,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5563.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5563.pptx,NA,NA,Public records tips and tricks,NA,5563,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5563.pptx,5563
84738,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5565.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5565.pptx,NA,NA,Building sources,NA,5565,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5565.pptx,5565
84739,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5566.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5566.pptx,NA,NA,Web & social media sleuthing,NA,5566,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5566.pptx,5566
84757,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5586.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5586.pptx,NA,NA,Public Information Act open government training,NA,5586,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5586.pptx,5586
84758,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5587.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5587_a.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5587_presentation.pptx,NA,Developing an investigative mindset,NA,5587,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5587_presentation.pptx.zip,5587_presentation.pptx
84771,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5601.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5601_a.pdf,NA,NA,Enterprise stories for TV,NA,5601,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5601_a.pdf,5601_a
84759,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5588.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5588.pptx,NA,NA,Build your beat: tips on sourcing and interviewing,NA,5588,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5588.pptx,5588
84773,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5603.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5603.pptx,NA,NA,Watchdogging local government,NA,5603,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5603.pptx,5603
79289,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/T1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/tipsheet1.pdf,NA,NA,The World of Nonprofits,NA,1,1905-06-15,NA,"Resource, Tipsheet",Talley;Robertson;Shepard;Gaul;Montague - New York,NA,Dallas Morning News;Ariz. Republic;Wash. Post;Phil. Inquirer;NCIB,NA,Nonprofits,NA,NA,NA,FALSE,NA,FALSE,tipsheet1.pdf,tipsheet1
84915,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5745.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5745_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5745_3.pdf,NA,Using data and documents in your reporting,NA,5745,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5745_3.pdf,5745_3
84913,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5743.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5743_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5743_3.pdf,NA,Investigating housing,NA,5743,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5743_4.pdf,5743_4
84911,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5741.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5741_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5741_3.pdf,NA,"Investigating offshore finances, even when you don’t have a leak",NA,5741,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5741_3.pdf,5741_3
84910,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5740.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5740_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5740_3.pdf,NA,Using solutions journalism to make your investigations stronger,NA,5740,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5740_3.pdf,5740_3
84901,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5731.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5731_2.pdf,NA,NA,Broadcast Track: Deep dive 3,NA,5731,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5731_2.pdf,5731_2
84900,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5730.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5730_2.pdf,NA,NA,Covering the protest line,NA,5730,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5730_2.pdf,5730_2
84843,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5673.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5673_2.pdf,NA,NA,What is that politician hiding? And other backgrounding tips,NA,5673,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5673_2.pdf,5673_2
84842,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5672.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5672_2.pdf,NA,NA,Reporting on the opioid epidemic,NA,5672,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5672_2.pdf,5672_2
84849,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5679.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5679_2.pdf,NA,NA,On the beat: Sports business stories you should be covering,NA,5679,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5679_2.pdf,5679_2
84850,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5680.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5680_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5680_3.pdf,NA,Self-editing moves you can start today,NA,5680,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5680_3.pdf,5680_3
84852,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5682.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5682_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5682_3.pdf,NA,Tapping your community to enhance your investigation,NA,5682,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5682_6.pdf,5682_6
84853,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5683.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5683_2.pdf,NA,NA,Reporting on guns,NA,5683,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5683_2.pdf,5683_2
84862,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5692.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5692_2.pdf,NA,NA,The wizarding world of investigative research,NA,5692,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5692_2.pdf,5692_2
84864,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5694.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5694_2.pdf,NA,NA,The advanced art of the TV interview,NA,5694,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5694_2.pdf,5694_2
84866,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5696.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5696_2.pdf,NA,NA,Misinformation and strategies to combat deceit,NA,5696,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5696_2.pdf,5696_2
84880,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5710.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5710_2.pdf,NA,NA,Covering immigrant communities,NA,5710,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5710_2.pdf,5710_2
84881,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5711.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5711_2.pdf,NA,NA,Localizing the investigation: Sexual misconduct,NA,5711,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5711_2.pdf,5711_2
84884,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5714.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5714_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5714_3.pdf,NA,Decoding business & financial documents,NA,5714,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5714_6.pdf,5714_6
84885,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5715.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5715_2.pdf,NA,NA,Mastering the law to overcome roadblocks to access,NA,5715,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5715_2.pdf,5715_2
84894,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5724.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5724_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5724_3.pdf,NA,"Lock it down: Protecting yourself, your data and your sources",NA,5724,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5724_3.pdf,5724_3
84895,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5725.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5725_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5725_3.pdf,NA,Getting the goods on members of Congress without a D.C. bureau,NA,5725,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5725_4.pdf,5725_4
84896,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5726.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5726_2.pdf,NA,NA,Backgrounding like a boss: Perfecting your 15-minute background check and why you should do it every time,NA,5726,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5726_2.pdf,5726_2
84837,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5667.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5667_2.pdf,NA,NA,Mastering the investigative interview,NA,5667,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5667_2.pdf,5667_2
84836,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5666.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5666_2.pdf,NA,NA,Secure source communications,NA,5666,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5666_2.pdf,5666_2
84834,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5664.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5664_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5664_3.pdf,NA,The art of the investigative interview,NA,5664,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5664_3.pdf,5664_3
84830,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5660.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5660_2.pdf,NA,NA,Data journalism for local investigations,NA,5660,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5660_2.pdf,5660_2
84829,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5659_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5659_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5659_3.pdf,NA,Fellowships and grants for freelancers,NA,5659,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5659_4.pdf,5659_4
84821,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5651_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5651_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5651_3.pdf,NA,Prepping for the midterms,NA,5651,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5651_3.pdf,5651_3
84817,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5647_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5647_2.pdf,NA,NA,Under pressure: Real life in real time with breaking news,NA,5647,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5647_2.pdf,5647_2
84812,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5642_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5642_2.pdf,NA,NA,Freelance investigations,NA,5642,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5642_2.pdf,5642_2
84808,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5638_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5638_2.pdf,NA,NA,Mass shooting “contagion” and media coverage: Minimizing the risks,NA,5638,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5638_2.pdf,5638_2
84807,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5637_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5637_2.pdf,NA,NA,The data sets every government reporter should have,NA,5637,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5637_2.pdf,5637_2
84806,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5636_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5636_2.pdf,NA,NA,Tunnel Vision: Finding great stories about transportation,NA,5636,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5636_2.pdf,5636_2
84805,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5635_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5635_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5635_3.pdf,NA,Finding immigration stories in data about communities and people,NA,5635,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5635_3.pdf,5635_3
84802,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5632_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5632_2.pdf,NA,NA,50 records to request right now,NA,5632,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5632_2.pdf,5632_2
84801,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5631_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5631_2.pdf,NA,NA,Turning your investigation into a book,NA,5631,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5631_2.pdf,5631_2
84798,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5628.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5628_pres.pdf,NA,NA,"One journalist, multiple hats",NA,5628,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5628_pres.pdf,5628_pres
84796,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5626_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5626_2.pdf,NA,NA,Consumer investigations: Stories that make a difference,NA,5626,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5626_2.pdf,5626_2
84794,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5624_1.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5624_2.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5624_3.pdf,NA,Crooked cops and crime labs,NA,5624,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5624_3.pdf,5624_3
84784,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5614.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5614_1.pdf,NA,NA,The art of the investigative interview,NA,5614,1905-07-11,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5614_1.pdf,5614_1
